Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
56,3,0.000,0.009,0.148,0.728,0.111,0.004,0
56,4,0.000,0.000,0.012,0.166,0.775,0.047,0
56,5,0.000,0.000,0.000,0.055,0.227,0.718,0
56,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,0,0.953,0.047,0.000,0.000,0.000,0.000,0
57,1,0.035,0.941,0.024,0.000,0.000,0.000,0
57,2,0.001,0.065,0.916,0.018,0.000,0.000,0
57,3,0.000,0.002,0.098,0.889,0.011,0.000,0
57,4,0.000,0.000,0.008,0.123,0.866,0.003,0
57,5,0.000,0.000,0.000,0.018,0.143,0.839,0
57,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,0,0.963,0.037,0.000,0.000,0.000,0.000,0
58,1,0.011,0.971,0.018,0.000,0.000,0.000,0
58,2,0.000,0.027,0.958,0.015,0.000,0.000,0
58,3,0.000,0.000,0.033,0.955,0.013,0.000,0
58,4,0.000,0.000,0.000,0.061,0.934,0.005,0
58,5,0.000,0.000,0.000,0.000,0.042,0.958,0
58,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,0,0.547,0.366,0.074,0.012,0.000,0.000,0
59,1,0.053,0.509,0.337,0.088,0.012,0.001,0
59,2,0.003,0.104,0.584,0.264,0.044,0.001,0
59,3,0.001,0.019,0.143,0.636,0.183,0.019,0
59,4,0.000,0.000,0.026,0.234,0.650,0.090,0
59,5,0.000,0.000,0.000,0.053,0.263,0.684,0
59,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,0,0.949,0.051,0.000,0.000,0.000,0.000,0
60,1,0.029,0.921,0.050,0.000,0.000,0.000,0
60,2,0.001,0.065,0.897,0.036,0.000,0.000,0
60,3,0.000,0.003,0.100,0.883,0.015,0.000,0
60,4,0.000,0.000,0.011,0.133,0.851,0.005,0
60,5,0.000,0.000,0.007,0.014,0.117,0.862,0
