Reading ../../NN/NN_model/ALC-Inputs-V2.csv - Complete
Reading in the occupant start state XML - Complete
Loading the activity statistics - Complete
Starting the search at Tue Oct 27 11:31:53 2015
True Error 344.029032155789, average of 2992.92903215579 kWh
True Error 120.504649805955, average of 2528.39535019405 kWh
True Error 91.0457259453397, average of 2557.85427405466 kWh
True Error 89.5331972700938, average of 2559.36680272991 kWh
True Error 115.671914033466, average of 2533.22808596653 kWh
True Error 6.91226299663958, average of 2655.81226299664 kWh
True Error 69.4143945117771, average of 2718.31439451178 kWh
True Error 16.7816619223845, average of 2665.68166192238 kWh
True Error 79.43319465062, average of 2728.33319465062 kWh
Wed Oct 28 13:30:30 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.0785371212639422
True Error 48.9621280331899, average of 2697.86212803319 kWh
True Error 41.2598688884395, average of 2690.15986888844 kWh
True Error 162.653884530235, average of 2486.24611546977 kWh
True Error 44.1633139940877, average of 2604.73668600591 kWh
True Error 43.2093361116727, average of 2605.69066388833 kWh
True Error 105.979598618761, average of 2542.92040138124 kWh
True Error 20.2149392431111, average of 2669.11493924311 kWh
True Error 36.8482924308983, average of 2685.7482924309 kWh
True Error 402.047799689281, average of 3050.94779968928 kWh
True Error 88.7347996522185, average of 2737.63479965222 kWh
True Error 62.8535202669318, average of 2586.04647973307 kWh
True Error 102.414247111673, average of 2751.31424711167 kWh
True Error 143.507977933266, average of 2505.39202206673 kWh
True Error 39.488615397117, average of 2609.41138460288 kWh
True Error 56.7655397284138, average of 2592.13446027159 kWh
True Error 13.6477090489566, average of 2662.54770904896 kWh
Wed Oct 28 14:33:49 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.0485382970547558
True Error 66.5588365631093, average of 2715.45883656311 kWh
True Error 142.144766355533, average of 2506.75523364447 kWh
True Error 22.7755151357915, average of 2671.67551513579 kWh
True Error 165.27238836193, average of 2483.62761163807 kWh
True Error 60.2412916038697, average of 2709.14129160387 kWh
True Error 18.3615621903291, average of 2630.53843780967 kWh
True Error 79.6045392871238, average of 2569.29546071288 kWh
True Error 52.8450790093507, average of 2596.05492099065 kWh
True Error 92.3637625880656, average of 2556.53623741193 kWh
True Error 22.7911450026832, average of 2671.69114500268 kWh
True Error 122.716201449502, average of 2526.1837985505 kWh
True Error 14.5922629514839, average of 2634.30773704852 kWh
True Error 69.6949803252901, average of 2579.20501967471 kWh
True Error 68.0130308026751, average of 2716.91303080268 kWh
True Error 345.882922138429, average of 2994.78292213843 kWh
True Error 105.088202049899, average of 2753.9882020499 kWh
Wed Oct 28 15:39:06 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.0299981237287497
True Error 152.624790847293, average of 2496.27520915271 kWh
True Error 95.745725171153, average of 2553.15427482885 kWh
True Error 40.7359774001375, average of 2689.63597740014 kWh
True Error 23.6624217760459, average of 2672.56242177605 kWh
True Error 8.03020048584267, average of 2656.93020048584 kWh
True Error 34.3235352317924, average of 2614.57646476821 kWh
True Error 5.66980463792333, average of 2654.56980463792 kWh
True Error 22.4702982268282, average of 2671.37029822683 kWh
True Error 61.1579605203397, average of 2587.74203947966 kWh
True Error 56.3485532116174, average of 2705.24855321162 kWh
True Error 120.466182436049, average of 2528.43381756395 kWh
True Error 41.8606036601441, average of 2607.03939633986 kWh
True Error 94.2499038788219, average of 2554.65009612118 kWh
True Error 336.430692489888, average of 2985.33069248989 kWh
True Error 159.258505013695, average of 2808.1585050137 kWh
True Error 103.344531618171, average of 2752.24453161817 kWh
Wed Oct 28 17:13:13 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.0185397404080821
True Error 102.657783422148, average of 2546.24221657785 kWh
True Error 88.7633803215122, average of 2560.13661967849 kWh
True Error 99.7374371778587, average of 2549.16256282214 kWh
True Error 165.36347865947, average of 2483.53652134053 kWh
True Error 113.585499296932, average of 2535.31450070307 kWh
True Error 36.9728431849489, average of 2611.92715681505 kWh
True Error 7.88648258390822, average of 2641.01351741609 kWh
True Error 35.6109420844896, average of 2684.51094208449 kWh
True Error 138.519325821489, average of 2787.41932582149 kWh
True Error 42.8051148225104, average of 2606.09488517749 kWh
True Error 9.67317560292622, average of 2639.22682439707 kWh
True Error 25.8567596083512, average of 2623.04324039165 kWh
True Error 0.907666652371972, average of 2647.99233334763 kWh
True Error 395.619690593667, average of 3044.51969059367 kWh
True Error 56.9730800726788, average of 2705.87308007268 kWh
True Error 55.2424074692176, average of 2704.14240746922 kWh
Wed Oct 28 18:42:22 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.0114581157644056
True Error 88.0892730288542, average of 2736.98927302885 kWh
True Error 51.0350705437086, average of 2699.93507054371 kWh
True Error 141.322308000235, average of 2507.57769199976 kWh
True Error 91.1979956618084, average of 2557.70200433819 kWh
True Error 38.8343628660564, average of 2687.73436286606 kWh
True Error 96.6826729368495, average of 2745.58267293685 kWh
True Error 70.2031429113231, average of 2578.69685708868 kWh
True Error 56.8170712560322, average of 2705.71707125603 kWh
True Error 74.211019328478, average of 2723.11101932848 kWh
True Error 27.9039310686535, average of 2620.99606893135 kWh
True Error 96.8358530989467, average of 2552.06414690105 kWh
True Error 183.882008783491, average of 2465.01799121651 kWh
True Error 125.238075365884, average of 2523.66192463412 kWh
True Error 30.6941098482666, average of 2679.59410984827 kWh
True Error 96.3796281090595, average of 2745.27962810906 kWh
True Error 294.077925951869, average of 2942.97792595187 kWh
Wed Oct 28 20:19:14 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.00708145928587757
True Error 99.2611716367323, average of 2549.63882836327 kWh
True Error 80.9984810882806, average of 2567.90151891172 kWh
